Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
8b7a2ca2eccdb72684971b2e0437fee140f6a515327b4eaff61fa28d94e8b941,2019-11,City of London Police,City of London Police,-0.096348,51.515472,On or near FOSTER LANE,E01000001,City of London 001A,Unable to prosecute suspect
cf99a5de78f40853a9dd82316d847a857a7d76e753b83933e2cf2c7ec3a91eb3,2019-11,City of London Police,City of London Police,-0.074210,51.511711,On or near PORTSOKEN STREET,E01000005,City of London 001E,Formal action is not in the public interest
7dabccab30cbf752e915ac5a284388d24ad720230ff6b6dea93cadd39e73e4d9,2019-11,City of London Police,City of London Police,-0.076435,51.513627,On or near ALDGATE,E01000005,City of London 001E,Investigation complete; no suspect identified
e93515375b5700354ba5efe8e92edd17ce0cf8ac04e4d99e42bf9adfb6e173fe,2019-11,City of London Police,City of London Police,-0.080782,51.514804,On or near ST MARY AXE,E01032739,City of London 001F,Investigation complete; no suspect identified
d80b91d831da6a12c03e6a453a2be0cf154d9363bd7512498481bbfd55c3bf62,2019-11,City of London Police,City of London Police,-0.080782,51.514804,On or near ST MARY AXE,E01032739,City of London 001F,Investigation complete; no suspect identified
a61dae541fb5dc1de1cfb322e3ca9d21a556e06fc6686f9a223c91f8dddc152b,2019-11,City of London Police,City of London Police,-0.101345,51.518709,On or near Parking Area,E01032740,City of London 001G,Investigation complete; no suspect identified
fcf80340811348a9e01253b26840976c04c0149454858e18b9f8dcf8d80a630f,2019-11,City of London Police,City of London Police,-0.111962,51.518494,On or near Nightclub,E01000914,Camden 028B,Unable to prosecute suspect
466e2737d8b6334302a138c0fcde02585b05aebb1307ca0a201a57fededa5ea9,2019-11,City of London Police,City of London Police,-0.091084,51.513830,On or near OLD JEWRY,E01032739,City of London 001F,Investigation complete; no suspect identified
1275858311ed66ffdf5acdbf99a901d307c260b6fec8896d83f4806f478403ae,2019-11,City of London Police,City of London Police,-0.092865,51.510182,On or near Parking Area,E01032739,City of London 001F,Investigation complete; no suspect identified
0ae119a790f5ec2bb174c46a72ebe30c0103c84debd078ade5a47ae8287ece27,2019-11,City of London Police,City of London Police,-0.080665,51.509344,On or near Pedestrian Subway,E01032739,City of London 001F,Investigation complete; no suspect identified
f95ed796a8a79ea9c2997c22a7a657210962aa7bc7d3a47798118e00995bfd17,2019-11,City of London Police,City of London Police,-0.097053,51.518262,On or near ALDERSGATE STREET,E01000001,City of London 001A,Investigation complete; no suspect identified
07625238035b5addc84767c173e9d4cb7470a4ce60f2b495775023201a42e003,2019-11,City of London Police,City of London Police,-0.074901,51.506255,On or near A100,E01004293,Tower Hamlets 027B,Investigation complete; no suspect identified
4de485c7bd2483d21c22395039a7ae2cac3b8ed79cc7b2290ec4c4f1db402bb6,2019-11,City of London Police,City of London Police,-0.074330,51.513647,On or near LITTLE SOMERSET STREET,E01000005,City of London 001E,Investigation complete; no suspect identified
39dcc6eedbae958d69e2bb4c6f09caf3dba65c53a490711a20fbe6c467560e3d,2019-11,City of London Police,City of London Police,-0.085310,51.518511,On or near ELDON STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
973fd922cdaae5d2ad731e387b38d394b7a21ee0c6f67080e0224e2949de9721,2019-11,City of London Police,City of London Police,-0.075389,51.511775,On or near MINORIES,E01000005,City of London 001E,Investigation complete; no suspect identified
f719b2529593d32baceb3495484eba9829e1d5ad87c08621e30c5f928a85dbff,2019-11,City of London Police,City of London Police,-0.081620,51.516814,On or near ALDERMAN'S WALK,E01032739,City of London 001F,Investigation complete; no suspect identified
d2bbc0a5936632614525e2694f4eefd47b4985f4d3202f0e4e711dacd8f15716,2019-11,City of London Police,City of London Police,-0.074958,51.514151,On or near ALDGATE HIGH STREET,E01000005,City of London 001E,Investigation complete; no suspect identified
6f796587320acd9a4e18edbaa5ba77e54b98dc44c1b82032584026ddddaee9c0,2019-11,City of London Police,City of London Police,-0.093493,51.513447,On or near BOW LANE,E01032739,City of London 001F,Investigation complete; no suspect identified
c1b4b333aa1642a1b3f38faf65a00fb04186a3d5ee46212ed4aa622636e5de07,2019-11,City of London Police,City of London Police,-0.080318,51.520678,On or near PRIMROSE STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
b54811496f5efdd6ed08dc1c1f11e52ee1d9ad858656b66282174208b87bd05e,2019-11,City of London Police,City of London Police,-0.097334,51.521567,On or near FANN STREET,E01000001,City of London 001A,Investigation complete; no suspect identified
f47c12f4ad7be689eab9c0556f93ca1ad2cd4d115667e6196cdb698e3c8be75b,2019-11,City of London Police,City of London Police,-0.111181,51.516476,On or near CURSITOR STREET,E01032740,City of London 001G,Investigation complete; no suspect identified
326a726c48abd1739c00982d11f5a810ab5153a663fd3312f438d4854ec3ef9b,2019-11,City of London Police,City of London Police,-0.093821,51.512139,On or near GARLICK HILL,E01032739,City of London 001F,Investigation complete; no suspect identified
e891cb465c479e2abe53d26c60c595d4dc183005c2146f51c244b21b9e948529,2019-11,City of London Police,City of London Police,-0.091151,51.516026,On or near BASINGHALL STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
a573259dce1040c1780764acf736311bd71895f6e798ad0badde08beb745c137,2019-11,City of London Police,City of London Police,-0.102741,51.513885,On or near PAGEANTMASTER COURT,E01032740,City of London 001G,Investigation complete; no suspect identified
7770cd5cb7be487c092683b52fca6a63243d27780253fa84c8d2f595bf032b43,2019-11,City of London Police,City of London Police,-0.096363,51.513377,On or near NEW CHANGE,E01032739,City of London 001F,Investigation complete; no suspect identified
69c18ac35cf0514d7a817790b89aa80d0eccb957b89b11210fe59393df94b43d,2019-11,City of London Police,City of London Police,-0.094582,51.517376,On or near Parking Area,E01000002,City of London 001B,Formal action is not in the public interest
b22c9483c6beb8901a216f12e605c9f97b568040c93c3359c9fdad9b79d8be61,2019-11,City of London Police,City of London Police,-0.089596,51.518743,On or near NEW UNION STREET,E01000002,City of London 001B,Investigation complete; no suspect identified
b1c237c9bc205ae244f5aa3ef4a4350dc1adc67eeed552822d55037064b5933b,2019-11,City of London Police,City of London Police,-0.081620,51.516814,On or near ALDERMAN'S WALK,E01032739,City of London 001F,Unable to prosecute suspect
f811c4f7c72110db55af3a07ccdd0a61bb4fc2b2e4055d9ff7fee0f22633a373,2019-11,City of London Police,City of London Police,-0.091494,51.510924,On or near COLLEGE STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
dbea5edc0632d8047d4f1e3c5a30b2e2f45e67f44d1ef2a7c7d7231a1c25f0d6,2019-11,City of London Police,City of London Police,-0.081620,51.516814,On or near ALDERMAN'S WALK,E01032739,City of London 001F,Investigation complete; no suspect identified
99efe224408ae3f0002c364ffed2848ba0912ff844cf5fdefaa4bfb604808786,2019-11,City of London Police,City of London Police,-0.100202,51.513268,On or near DEAN'S COURT,E01032739,City of London 001F,Investigation complete; no suspect identified
e4f8d607ea8ac257b40ef10aa3389ebbd8d8e2a310592a2703de786f2db03454,2019-11,City of London Police,City of London Police,-0.083972,51.510549,On or near LOVAT LANE,E01032739,City of London 001F,Investigation complete; no suspect identified
5a820af4381780d5800271bdf08d9a905dabd66403e78adac3d21af5906a0c65,2019-11,City of London Police,City of London Police,-0.078856,51.518433,On or near ARTILLERY LANE,E01032739,City of London 001F,Unable to prosecute suspect
2914aa14053763b2cb0acbd2b37326e8eaea1b9c912904a3b37c8097826681e0,2019-11,City of London Police,City of London Police,-0.078856,51.518433,On or near ARTILLERY LANE,E01032739,City of London 001F,Unable to prosecute suspect
d83b3bbdf46ec306e97b258cf7be5de0968af484df1462cfad0378b10d562dfe,2019-11,City of London Police,City of London Police,-0.079786,51.517576,On or near Police Station,E01032739,City of London 001F,Investigation complete; no suspect identified
6beadcca0ccedd1bb0ab7fb9427aea6d34fbc009d28cd965be4e122e9fcff8be,2019-11,City of London Police,City of London Police,-0.079786,51.517576,On or near Police Station,E01032739,City of London 001F,Investigation complete; no suspect identified
5ea9e410548eaecc7c3ce0aa7052d9b90603b3adad644ee94d1068b9cb5380e9,2019-11,City of London Police,City of London Police,-0.091720,51.513454,On or near Supermarket,E01032739,City of London 001F,Formal action is not in the public interest
4f34db62cb17182dd96c68991bc8687e41e2ef38d1be1a85b99e75e4f40fd512,2019-11,City of London Police,City of London Police,-0.094720,51.514420,On or near WOOD STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
